"State","Year.Month","Report.Number"
"CA","2005-05",90
"CA","2005-06",133
"CA","2005-07",113
"CA","2005-08",128
"CA","2005-09",114
"CA","2005-10",144
"CA","2005-11",113
"CA","2005-12",98
"CA","2006-01",127
"CA","2006-02",110
"CA","2006-03",148
"CA","2006-04",138
"CA","2006-05",206
"CA","2006-06",185
"CA","2006-07",208
"CA","2006-08",188
"CA","2006-09",183
"CA","2006-10",144
"CA","2006-11",146
"CA","2006-12",89
"CA","2007-01",114
"CA","2007-02",121
"CA","2007-03",170
"CA","2007-04",162
"CA","2007-05",141
"CA","2007-06",162
"CA","2007-07",185
"CA","2007-08",194
"CA","2007-09",169
"CA","2007-10",161
"CA","2007-11",119
"CA","2007-12",93
"CA","2008-01",120
"CA","2008-02",111
"CA","2008-03",136
"CA","2008-04",129
"CA","2008-05",145
"CA","2008-06",139
"CA","2008-07",181
"CA","2008-08",162
"CA","2008-09",148
"CA","2008-10",162
"CA","2008-11",111
"CA","2008-12",74
"CA","2009-01",109
"CA","2009-02",117
"CA","2009-03",144
"CA","2009-04",151
"CA","2009-05",95
"CA","2009-06",148
"CA","2009-07",140
"CA","2009-08",128
"CA","2009-09",140
"CA","2009-10",112
"CA","2009-11",90
"CA","2009-12",74
"CA","2010-01",93
"CA","2010-02",99
"CA","2010-03",131
"CA","2010-04",109
"CA","2010-05",116
"CA","2010-06",121
"CA","2010-07",130
"CA","2010-08",133
"CA","2010-09",140
"CA","2010-10",112
"CA","2010-11",76
"CA","2010-12",82
"CA","2011-01",102
"CA","2011-02",81
"CA","2011-03",125
"CA","2011-04",125
"CA","2011-05",111
"CA","2011-06",116
"CA","2011-07",205
"CA","2011-08",149
"CA","2011-09",118
"CA","2011-10",102
"CA","2011-11",92
"CA","2011-12",78
"CA","2012-01",87
"CA","2012-02",85
"CA","2012-03",105
"CA","2012-04",114
"CA","2012-05",120
"CA","2012-06",137
"CA","2012-07",120
"CA","2012-08",126
"CA","2012-09",103
"CA","2012-10",126
"CA","2012-11",107
"CA","2012-12",77
"CA","2013-01",109
"CA","2013-02",87
"CA","2013-03",112
"CA","2013-04",129
"CA","2013-05",156
"CA","2013-06",143
"CA","2013-07",154
"CA","2013-08",149
"CA","2013-09",115
"CA","2013-10",123
"CA","2013-11",89
"CA","2013-12",91
"CA","2014-01",137
"CA","2014-02",112
"CA","2014-03",124
"CA","2014-04",103
"CA","2014-05",132
"CA","2014-06",145
"CA","2014-07",129
"CA","2014-08",126
"CA","2014-09",138
"CA","2014-10",115
"CA","2014-11",106
"CA","2014-12",105
"CA","2015-01",132
"CA","2015-02",96
"CA","2015-03",122
"CA","2015-04",126
"CA","2015-05",90
"CA","2015-06",133
"CA","2015-07",150
"CA","2015-08",139
"CA","2015-09",142
"CA","2015-10",126
"CA","2015-11",107
"CA","2015-12",112
"CA","2016-01",101
"CA","2016-02",41
"CA","2016-03",1
"CA","2016-04",0
"CO","2005-01",0
"CO","2005-02",11
"CO","2005-03",26
"CO","2005-04",22
"CO","2005-05",27
"CO","2005-06",21
"CO","2005-07",27
"CO","2005-08",29
"CO","2005-09",17
"CO","2005-10",18
"CO","2005-11",21
"CO","2005-12",20
"CO","2006-01",23
"CO","2006-02",27
"CO","2006-03",36
"CO","2006-04",33
"CO","2006-05",52
"CO","2006-06",52
"CO","2006-07",42
"CO","2006-08",47
"CO","2006-09",38
"CO","2006-10",37
"CO","2006-11",35
"CO","2006-12",19
"CO","2007-01",38
"CO","2007-02",33
"CO","2007-03",31
"CO","2007-04",46
"CO","2007-05",45
"CO","2007-06",48
"CO","2007-07",39
"CO","2007-08",56
"CO","2007-09",33
"CO","2007-10",40
"CO","2007-11",29
"CO","2007-12",23
"CO","2008-01",40
"CO","2008-02",32
"CO","2008-03",29
"CO","2008-04",35
"CO","2008-05",26
"CO","2008-06",40
"CO","2008-07",36
"CO","2008-08",58
"CO","2008-09",39
"CO","2008-10",24
"CO","2008-11",26
"CO","2008-12",20
"CO","2009-01",41
"CO","2009-02",25
"CO","2009-03",30
"CO","2009-04",29
"CO","2009-05",32
"CO","2009-06",46
"CO","2009-07",35
"CO","2009-08",34
"CO","2009-09",41
"CO","2009-10",27
"CO","2009-11",35
"CO","2009-12",21
"CO","2010-01",31
"CO","2010-02",24
"CO","2010-03",30
"CO","2010-04",29
"CO","2010-05",30
"CO","2010-06",36
"CO","2010-07",37
"CO","2010-08",48
"CO","2010-09",29
"CO","2010-10",33
"CO","2010-11",24
"CO","2010-12",29
"CO","2011-01",42
"CO","2011-02",20
"CO","2011-03",31
"CO","2011-04",32
"CO","2011-05",24
"CO","2011-06",44
"CO","2011-07",49
"CO","2011-08",47
"CO","2011-09",37
"CO","2011-10",37
"CO","2011-11",35
"CO","2011-12",12
"CO","2012-01",25
"CO","2012-02",26
"CO","2012-03",44
"CO","2012-04",29
"CO","2012-05",30
"CO","2012-06",44
"CO","2012-07",27
"CO","2012-08",33
"CO","2012-09",37
"CO","2012-10",46
"CO","2012-11",25
"CO","2012-12",23
"CO","2013-01",26
"CO","2013-02",27
"CO","2013-03",22
"CO","2013-04",29
"CO","2013-05",32
"CO","2013-06",34
"CO","2013-07",35
"CO","2013-08",49
"CO","2013-09",28
"CO","2013-10",22
"CO","2013-11",19
"CO","2013-12",21
"CO","2014-01",18
"CO","2014-02",26
"CO","2014-03",38
"CO","2014-04",31
"CO","2014-05",30
"CO","2014-06",36
"CO","2014-07",42
"CO","2014-08",32
"CO","2014-09",40
"CO","2014-10",27
"CO","2014-11",29
"CO","2014-12",25
"CO","2015-01",26
